42° 53′ N,8° 46′ W
32° 33′ 33″ N.,16° 49′ W
77° 18″.
30° 11′ N
17° 22′
16° 30′
16 N,21° 51′ W
14° 6′ N,22° 10′ W
12° 14′,22° 10′
8° 25′ N,22° 4′ W
7° 58′,22° 13′
1° 7′ N,28° 50′
10° 38′ S,32° 13′ 43″ W.
19° 3′ S,35° 50′ W
47° 17′ S,61° 29′ 45″ W.
53° 40′ 41″
68° 15′
55° 53′ S,68° 13′ W
60° 10′,74° 30′ W
49° 32′,90° 37′
3 and ½ to the n
38° 44′ S,110° 33′ W
22° 11′S,127° 55′W
18° 47′ S,139° 28′ W
18° 35′ S,139° 48′ W
18° 23′ S,141° 12′ W
18° 12′ S,142° 42′ W
17° 48′ S,143° 35′ W
17° 23′ S,145° 54′ W
17° 48′ S,143° 35′ W
17° 29′ 15″,149° 32′ 30″ W.
16° 43′ S,150° 52′ W
16° 10′,150° 57′
16° 55′ S,150° 57′
22° 27′ S,150° 47′ W
38° 20′ S,147° 6′ W
40° 22′ S,174° 29′ W
29°,159° 29′
33° 18′,162° 51′
28° 59′,169° 5′
37° 10′,172° 54′ W
36° 56′,173° 27′
38° 42′ S,181° 36′ W
39° 7′ S,181° 36′ W
39° 43′,182° 24′ W
40° 34′ S,182° 55′ W
38° 10′ S
38° 22′ 24″
38° 22′ S,14° 31′ E
37° 42′ 30″ S.,181° W
37° 32′,181° 48′
37° 59′,193° 7′
36° 57′
36° 47′ 43″
30° 48′ 5½″
36° 48′ 28″
36° 48′ 5½″ S
11° 9′ E
36° 47′ S,184° 4′ W
36° 26′,194° 27′
36° 15′ 20″,
36° 26′,194° 27′
36° 15′ S,184° 53′ W
35° 46′ S
36° 36′ S
35° 10′ 30″ S.,185° 25′ W
34° 59′ S,185° 36′ W
34° 44′ S,12° 41′ E
34° 51′ S,186° 50′
34° 6′ S,34° 10′
34° 20′ S,186° 55′ W
34° 22′ S,186° 55′ W
34° 12′ S,187° 48′ W
35° 10′ S,188° 20′ W
34° 50′ S,188° 27′ W
34° 37′ S
35° S,123° W
34° 30′ S,187° 18′ W
35° 17′ S,2° 30′ W
36° 2′ S
36° 25′,185° 50′ W
36° 31′ S,185° 50′ W
35° 45′
35° 10′ S,188° 20′ W
36° 39′ S
37° 43′,184° 42′ W
38° 4′ S,184° 42′ W
39° 16′ S,185° 15′ W
40° 97′ S,184° 39′ W
41° 5′ 32″,
40° 50′
41° S,184° 45′ W
41° 34′ S,183° 58′ W
41° 27′ S
41° 44′ S,183° 45′ W
41° 52′
42° 2′ S,15° 4′ E
42° 347′S
42° 56′ S
43° 19′S,14° 39′ E
43° 32′ S,186° 30′ W
44° 7′ S,6° 30′ W
45° 16′,6° 30′ W
44° 38′,2° 22′ W
58° 30′ E,2° 22′ W
44° 44′,2° 22′ W
44° 40′ S,1° 31′ W
45° 22′ S
45° 35′ S,189° 4′ W
46° 36′,1° 24′ E
46° 54′,1° 24′ E
47° 43′,2° 10′
47° 52′,1° 8′ E
48° S,188° W
46° 42′ S,16° 16′ E
46° 31′ S,192° 49′ W
47° 6′ S,16° 29′E
47° 26′ S,192° 12′ W
47° 19′ S,192° 12′ W
47° 33′ S,192° 49′ W
46° 31′ S,192° 49′ W
47° 40′ S,193° 50′ W
46° S,135° W
45° 47′ S
45° 54′ S,193° 17′ W
45° 13′ S
45° 16′ S
44° 47′
44° 5′,2° 8′ E
43° 4′ S,4° 12′ E
42° 8′,5° 5′ E
42° 23′,3° 55′ E
41° 37′,5° 42′ E
40° 55′ S,6° 35′ E
40° 36′ 30″ S.,6° 52′ E
40° 55′ S,6° 35′ E
44° 20′
44° 20′
42° 8′,5° 5′ E
42° 8′,5° 5′ E
41° 30′
40° 19′
40° 33′ S,186° W
40° 37′ S,185° 6′ W
34° to 43
34°,181°
48° S,188° W
36° 15′
36° 15′
43°
43°
44° 20′
44° 20′
40°,110°
40°,110°
30°,21°,140°
40° s
26° S,146° W
35° S,123° W
34° S,11° 3′ E
35° S,123° W
40° S
40°,110°
40°,110°
15°.26′ S
34°.00′.S
40° 33′ S,186° W
40°,110°
38° 2′S
38° 51′ S,202° 43′ W
13° 48′
39° 33′ S,204° 2′W
39° 45′ S,208° W
39° 36′ S
37° 58′ S,210° 39′ W
38°,211° 7′
37° 50′,210° 29′W
36° 51′ S,209° 53′ W
36° 18′ S,209° 55′ W
35° 49′ S,209° 23′W
35° 35′ S,209° 23′W
35° 27′ S,209° 23′W
35° 38′
35° 10′S,208° 51′ W
35° 19′ S,209° 42′W
34° 22′ S,186° 55′ W
35° 6′,208° 45′W
34° 29′,208° 45′W
34° 10′ S,208° 27′ W
34° S,11° 3′ E
34° S,11° 3′ E
33° 50′ S,8° E
33° 42′
33° 22′ S,8° 25′ E
33° 2′ S,8° E
32° 53′ S,208° W
32° 40′,207° 51′
32° 14′ S,207° 30′ W
32° 2′ S,9° 10′ E
31° 40′
31° 18′ S,206° 58′ W
30° 43′ S,206° 45′ W
30° 31′ S,206° 54′ W
30° 22′,206° 39′ W
30° 10′,206° 27′W
